op	annotated	n_qdq	lowered	deleg_ops	note
tanh.out	no	0	-	-	
topk.values	no	0	-	-	
transpose_copy.int	no	0	-	-	
tril.out	no	0	-	-	
trunc.out	no	0	-	-	
unbind_copy.int	no	0	-	-	
unfold_copy	YES	2	READY	2	
unsqueeze_copy	no	0	-	-	
var.correction	no	0	-	-	
var.correction_out	YES	2	SKIP	-	lower RuntimeError: Starting service at port: 34523
WARNING: Dimension
var_mean.correction	YES	2	READY	2	
view_copy	no	0	-	-	
where.self	no	0	-	-	
where.self_out	no	0	-	-	
zeros.out	no	0	-	-	
